"text","label"
"Como não amar Sandy? Fala pra mim!!!!! #Encontro","2"
"#encontro falta falar dos realistas.","0"
"To de tpm  #MasterChefBR","1"
"#AltasHoras Nossa gente! A Bela Gil é  a criança que dança de odalisca ao lado da Carla Perez no clip do Tchan e quem dirigiu foi Preta Gil.","2"
"#MasterChefBR O prato do Burginhon vou te falar viu.. Meu ovo frito esfacelado tá mais bonito.","0"
"Então orange is the new black não está tão distante da realidade do brasil #ConversaComBial","1"
"Corre pra #Band Brasiiiiilllll #MasterChefBR mesmo pq ninguem merece  Tais Araujo","2"
"#QuartaDetremuraSDV engraçado ver os tios falando de internet no #encontro ... Entendem mais que nós 😒","0"
"Mas eu vivi pra ver 3 Impeachment e a Namaria Braga vestida de unicórnio na tv.  #MaisVoce","1"
"Bom dia  assistindo #MaisVoce","2"
"Saudades do ""Mestre mandou raiz"" só com o pessoal do The Noite mesmo e de vez em quando UMA participação  #TheNoite","0"
"@user Me vem o Galvão HOJE SIM HOJE SIM HOJE SIM... HOJE NÃO #MasterChefBR","1"
"que entrevista maneira com esse escritor no #TheNoite","2"
"Aiii alguem tira esse homem dai pelo amor  #Encontro","0"
"@user OLA COLOQUE UM VIDEO DE RAUL SEIXAS CANTANDO MALUCO BELEZA #VideoShowAoVivo","1"
"Mergulhe na arte, a arte faz o coração maior e melhor! #Encontro","2"
"Geeeeente??? Q porra é essa????? O Douglas saiu e a Miriam ficou????? #MasterChefBR","0"
"To esperando começar #TheNoite","1"
"Não basta assistir o #masterchefbr na terça, tem que ver a reprise sexta no Discovery 😍","2"
"Foi muito pouco o #MalumaNoTheNoite quando é uma pessoa chata é  mto mais a entrevista.  #TheNoite","0"
"A @user traduziu todo o nervosismo do #MasterChefBr","1"
"Hoje é o dia que eu durmo bemmm tarde, graças ao Master Chef #MasterChefBR #foraMiriam #ForaLéo","2"
"NÃO MANDE NUDE  hahushuahsuahush aham #Encontro","0"
"Eu acho q o Joaquim Lopes acabou de te matar no #VideoShowAoVivo  @user","1"
"#MasterChefBR com as belas e competentes@MChefNayane @user @user @user","2"
"Só no #Encontro mesmo, pra pessoa falar que farinha ""tal"" da muito peido. Kkkkkkk","0"
"@user Aqui no sul nós falamos: bah, tche, tri, mas bem capaz e ainda tem muitas outras #VideoShowAoVivo","1"
"Sophia está lindinha. #videoshowaovivo","2"
"Se eu to chorando aqui... estaria afogado nas minhas lágrimas se fosse o Serginho #AltasHoras","0"
"#MasterChefBR, o cardápio da equipe azul não está legal: frango entrada com frango prato principal? Que vença o sabor!!","1"
"@user entrevistador que não corta o entrevistado 👏🏻👏🏻👏🏻 #ConversaComBial","2"
"Sabem pq Monica Iozzi e Otaviano Costa davam certo no #VideoShowAoVivo ? Pq ela tomava conta e ele não tinha espaço pra ser baba ovo.","0"
"Quem saiu do #MasterchefBR ? Estou sem TV em casa :v","1"
"Não são nem 22h e eu já estou na sede de masterchef #MasterChefBR","2"
"MEU DEUS, NÃO POSSO ASSISTIR #MaisVoce que fomeeeee","0"
"#MasterChefBR e ai? Quem ganha?","1"
"@user Tá muito linda no #altashoras de hoje!","2"
"@user é praticamente uma buzina com água de um fusquinha #VideoShowAoVivo","0"
"Acho que dessa vez o Vitor B. Sai  #MasterChefBR","1"
"Taís é simplesmente encantadora! Cresceu muito, em todos os sentidos desde #AnjoMau  #MaisVoce","2"
"Nao sei se gostei dessa tinta preto petroleo na cabeça da ana furtado. 😕 #EDeCasa","0"
"Consolidados - GLOBO (11/05):  #BDSP 10.5 #BomDiaBrasil 12.1 #MaisVocê 9.0 #BemEstar 7.4 #Encontro 8.2 #SP1 13.1 #GloboEsporte 12.2","1"
"Essa Ana Luisa tem vaga garantida no meu coração #MasterChefBR","2"
"#MasterChefBR n acredito q o meu bb foi eliminadooooo 😢","0"
"Fogaça na previa hoje #MasterchefBR ❤❤❤❤","1"
"#Encontro  Na minha opinião não faz diferença dizer negro ou preto, o que vale é o caráter da pessoa !","2"
"#MasterChefBR Salvem o Vitor please!!! 😭😭😭","0"
"E hoje que tem @user no #TheNoite com @user ?","1"
"Vivianne Pasmanter é tão tímida e delicada, tão fofa 😍.  #MaisVoce","2"
"Em nome de jesus, não eliminem o Victor!!!!!!!!! #masterchefbr","0"
"#VideoShowAoVivo  Otaviano Costa manda um pro Tocantins...  Um abraço especial pro meu filho  Carlos Eduardo em Taipas do Tocantins","1"
"São ou não são duas queridas essas moças?? Muito bom conhecer um pouquinho mais de Maiara e Maraísa❤❤ #ConversaComBial","2"
"Tadinha da minha Yuko #MasterChefBR","0"
"Carol 😅😅😅😅😅 homens lavem a louca #Encontro","1"
"O Marcos do Belutti é uma delicinha né? #Encontro","2"
"To chocado com a voz da melanie #domingolegal","0"
"Vovó gosta de beber 😀 #Encontro","1"
"Até que fim vai começar #ConversaComBial com @user ❤😍👏💥 #MaiaraeMaraisaNoBial","2"
"Acho q vai dar ruim pro azul #MasterchefBr","0"
"#Encontro de hj assunto polêmico hehehe #quandoelaémaisvelha","1"
"No põe põe, me fazendo enlouquecer #AltasHoras","2"
"Esse cabelo não ficou bom não Namaria,  n realçou o rosto não  #MaisVoce @user","0"
"Ela se recuperou bem,a perda de um filho #Encontro","1"
"Hoje tem #MasterChefBR !!!!","2"
"Pelo amor Fátima, até pra fazer a pergunta vc quer mandar como vc quer a resposta!  #Encontro","0"
"#VideoShowAoVivo.  Eu João Neto.","1"
"Time da Cecília contra o time do Gustavo #DomingoLegal","2"
"Equipe azul tá me deixando aflita #MasterChefBR","0"
"IMPROPÉRIO: Atitude ou palavra utilizada para ofender. #MaisVocê.  @user","1"
"a mãe do Serginho linda #AltasHoras","2"
"Não ia querer ser capitã nem a pau, cê loco bicho #MasterChefBR","0"
"#AltasHoras tem q mastigar 30 vezes, gente. Será q os chicletes tb?","1"
"#Encontro sensacional o programa..parabéns","2"
"#MasterChefBR #FicaYuko  Se a yuko sair eu pulo do meio-fio Que no caso é alto pra mim","0"
"Vale fazer patê ou macarrão com sardinha?  #MasterChefBR","1"
"Paola tão natural, MDS, como é maravilhosa #MasterChefBR","2"
"#MasterChefBR kd a taiseeeee","0"
"PT sempre disse que era a favor da democracia. Na época do governo deles, maioria queria o porte de arma e isso não foi concedido. #TheNoite","1"
"@user ~ Mãe corajosa!! #AltasHoras","2"
"Uma senhora de 100 anos cheia de vontade de viver e eu com menos de 1/4 da idade dela só quero dormir. #Encontro","0"
"Migos, pra quem vocês torcem no #MasterChefBR?","1"
"A música do Nabby Clifford é um pedido de liberdade  ""Dignidade sem escravidão"" ""Brasil é liberdade"" #Encontro","2"
"Nossa que dó do Vitor Bourguignon D: eu quase chorei junto #MasterChefBR","0"
"Estou eu assistindo o #VideoShowAoVivo quando passa uma cena de rockstory e eu percebo q uma das figurantes é uma colega de faculdade!kkkkkk","1"
"O Tiago Liefert te avisou migooooo #encontro","2"
"@user não acredito q colocaram 2 blogueiras p/esse quadro de moda no #VideoShowAoVivo ao invés de colocarem a @user que pena 😢","0"
"Sardinhada 😂😂😂😂😂😂😂 #MasterChefBR","1"
"Ansiosa pelo #MasterChefBR","2"
"VAI SE FUDER TÔ PUTAAAA ESSA MIRIAN RIDÍCULA SE FODE #MasterChefBR","0"
"Pelo menos n tão perdendo de disparada igual o azul perdeu das outras vezes #MasterChefBR","1"
"Vitor meu coração é seu #MasterChefBR","2"
"Eu preciso que Mirian saia. Que mulher chata parece as tia abusada da vizinha #MasterChefBR","0"
"AE COMEÇOU  Vamo falar de política primeiro #ConversaComBial","1"
"Eu queria ganhar beijo da Isis agora #Encontro","2"
"Qdo o Playback não dá certo. É o Tchan! #AltasHoras","0"
"falei pra vcs que o vermelho mentou um time melhor #masterchefbr","1"
"#VideoShowAoVivo AAAAAAAAAAA EU AMO ESSE PROGRAMA","2"
"Eu já teria mandado esse mezanino pro infernooooo! Gente chata.  #MasterChefBR","0"
"Léo Lins e Vera Verão shahsahsh #TheNoite","1"
"@user minha musa inspiradora do veganismo no #altashoras , adorei😉","2"
"Não aguento mais a mirian #MasterChefBR","0"
"A Gente daria para o Charlie Hunnam? #Thenoite","1"
"Vendo esta prova me deu vontade de comer o coração de boi com cebola do meu pai! @user #MasterChefBR","2"
"Veias assanhadas beijando o @user que invejaaaaa delaaa 😭 #Encontro","0"
"Muito amor pela @user 😢😢 #encontro Choro igualzinho, sou manteiga derretida mexxxmo.","1"
"que papo foda, drauzio te venero #ConversaComBial","2"
"Se a Ana Luiza ganhar,eu quero foco na cara do Leonardo. Pq quando é comentários desnecessários dele,vcs mostram    #MasterChefBR","0"
"@user deve odiar o halloween que tem aquelas abóboras com carinha de mal ahahaha #MaisVocê","1"
"Gordo, magro, alto, baixo... O importante é ser feliz, e Mariana Xavier é FELIZ, e passa isso pra gente! #VídeoShowAoVivo","2"
"grande merda, hj q o vermelho perde #MasterChefBR","0"
"Gripou e nao dá pra sair? Pra que sair se tem #ehotchan hoje no #altashoras?","1"
"Que vestido de renda é esse que a @user está usando no #VideoShowAoVivo??? Meu reino pra saber onde compro um igual!!!","2"
"#MasterChefBR manoo será q da pra alguém errar e acertar o Léo","0"
"#encontro meu filho tem 8 anos, aficcionados por games e muitas vezes ele opta pelo personagem feminino sem neuras.","1"
"Dr Dráuzio dando uma aula de empatia e um pisão de humanidade na sociedade burra e preconceituosa!!! 👏🏾👏🏾👏🏾 #ConversaComBial","2"
"VITOR B SAIU ONTEM DEPOIS DE TER PASSADO AQUELE SOFRIMENTO TODO DO DEDO? PUTA QUE PARIUUUUUUUUU #MasterChefBR","0"
"@user  manda um beijo pra minha mamae #VideoShowAoVivo","1"
"@user rei da internet #ConversaComBial😀","2"
"Sandy é tão linda, para que tudo isso de pó na cara? #Encontro","0"
"sempre que eu vejo algo relacionado a campanha adote um pequeno torcedor do sport eu me emociono. #encontro","1"
"#MaisVocê.  Fernanda de Freitas também é uma graça. E está muito bem na série.","2"
"#MasterChefBr não terá a mesma graça sem @user. Tava torcendo pra ela 😭","0"
"#MasterChefBR Alguém sabe se tem algum convidado especial na prévia","1"
"Gosto da sexta a noite e do do sábado  #Encontro","2"
"Pq Raul Ainda existe no #MasterChefBR ????","0"
"Ele conseguiu AAAAAAAA #MasterChefBR","1"
"H O J E É D I A D E M A S T E R C H E F B E B Ê #MasterChefBR","2"
"É difícil shippar a Paolla com o Joaquim e ver uma situação dessas com eles separados #VideoShowAoVivo","0"
"Galinhada desconstruída 😂😂😂 #MasterChefBR","1"
"#VideoShowAoVivo Marinho da Bahia ligado , programa massa ....","2"
"Tem uma mulher vestida de trombadinha cantando no #Encontro","0"
"É hoje que a Mirian vai pra casa #SaiMirian #FicaVitorB #MasterChefBR","1"
"...Aquarela do Brasil`` amoooooooo #DomingoLegal","2"
"#MasterChefBR só quero dizer que chorei com a eliminação de ontem","0"
"#VídeoShowAoVivo Otaviano. É maria Cristina dei segundo livro para você você fez vídeo para mlm sou eu maria Cristina sou Sua fan","1"
"Colocar muitos filhos no mundo vai muito além de ""eu quero, é meu sonho..."" #Encontro","2"
"Assistindo #ConversacomBial @user tá ficando tão forte que as blusas estão ficando pequenas! Pega leve...","0"
"Pq rodar d ônibus é bom. #thenoite #sbt","1"
"Mais legal que o unicórnio é a paçoca detonando a pantufa da Ana Maria kkkkk #maisvoce","2"
"#conversacombial programa cheio de mordaças com o Rodrigo Santoro, nem um nome de série ou filme estrangeiro do passado, patético!!!","0"
"Daqui a pouco tem #MasterChefBR","1"
"Meu Deus, esse #Encontro de hoje está emocionante demais.","2"
"como rodrigo santoro se acha #conversacombial","0"
"Acho que a equipe Azul vai ganhar... #MasterChefBR","1"
"Eu acho que a criança é o Nicolas Prattes #videoshowaovivo","2"
"#DomingoLegal nao faz,isso😭😭❤❤ que clipe","0"
"Bial se redimindo da barriga do programa de estréia...em época de Dorian quem vaza bomba é um colunista social. #ForaTemer #ConversaComBial","1"
"Daqui a pouco tem @user #MasterChefBR","2"
"#MasterChefBR ta dando umas vontade de dá uns tapa na cara do LEOOO","0"
"@user Essa semana eu até falei da semelhança entre ele e Fabrizio do #MasterchefBR. Coincidência? Acho que não!","1"
"Ô chef bão (pedreira mode ON) #MaisVoce","2"
"QQ ACONTECEU BRASEL? #MasterChefBR","0"
"O Léo é o Leão Lobo do programa #MasterChefBR","1"
"Fiquei arrepiada vendo @user dançando dirting dance no #Maisvocê 😍","2"
"Quem é o folgado que tá na rede ? Rs #EdeCasa","0"
"Daqui a pouco vai começar #MasterChefBR","1"
"#EDeCasa com esss frio + um cafe bem quente&amp;&amp;*$$","2"
"#AltasHoras apareceu o índice de morte na minha cidade tô muito assustado #BelemPedePaz","0"
"#VideoShowAoVivo a globo bem que poderia reprisar Lampião, para homenagear o nosso Nelson Xavier.😢","1"
"""Todo amor de mãe é inacabado até o último suspiro."" Lindo! #Encontro.","2"
"#MasterChefBr imagina eu de boa saindo do trabalho e dando de cara com o Fogaça kkkkkkkk socorro","0"
"Você percebe que rico é rico de verdade. Quando vê a #AnaMariaBraga descobrindo como sai o vapor e a água de um ferro. #MaisVoce","1"
"Mto bom o programa! #ConversaComBial @user 👍📺","2"
"Ana Maria  "" Quem sabe não ganho uma peruca já que  vc não comeu abóbora ""  hahaha. #MaisVocê. #Viva","0"
"TENSA TO EU MEU AMOR #MasterChefBR","1"
"E depois Yuko diz q ela va utilizar  penis..que mulher #MasterChefBR","2"
"esse chef é um sapão né #MasterChefBR","0"
"Não estou sabendo lidar que vai ser aquarela  #DomingoLegal","1"
"#VideoShowAoVivo hoje tá muito bom 👏👏👏 #VídeoShowComSophia","2"
"O cara falar que se a mulher trabalha, problema dela, ela que pague a empregada. Gnt, gnt. Educação é tudo. Coitada dessa mãe 😞 #encontro","0"
"Camisa do @user me lembrando a Ms. Marvel -q #VideoShowAoVivo","1"
"A força do do Querer .A melhor novela. Todos estão de parabéns. #VideoShowAoVivo  @user  E @user","2"
"Já pensou @user faz agt passar por aquele sufoco semana lassada pra ser eliminado hoje??? Deusmelivre!!!!!! #MasterChefBR","0"
"""Não é bonito, mas é bom"". Esse sou eu mesmo #masterchefBR","1"
"#ConversaComBial, até que enfim um excelente programa de entrevistas na TV aberta. 👍","2"
"Essa abertura era bem legal  #TheNoite","0"
"Tem sal grosso e Arruda pra benzer a cozinha do #MasterChefBr?","1"
"Rei Arthur... só vem ni mim! #TheNoite","2"
"meu deux o que é essa eliminação do #MasterChefBR os mais queridões Yoko e Vitor B. 😥","0"
"@user que saudade de comer maniçoba que deu assistindo o #MasterChefBR!","1"
"Mr catra é foda dmais #TheNoite","2"
"Ñ me conformo! O #AltasHoras é uma farsa. Ñ é altas horas. Vtnc!","0"
"É SIM! Kkkkkkkkkkk @user #ConversaComBial #MaiaraeMaraisaNoBial","1"
"Filho de Serginho + É o Tchan = ÇOKOOOOOOOORROOOOO!!!!  💓💓💓💓💓  Zero maturidade, pra criança extraordinárias!!!! #AltasHoras","2"
"#DomingoLegal mãe falsa. se tinha como matar ele ñ é tão coitada. Desnaturada","0"
"Que trem é isso no #VideoShowAoVivo 😱😂","1"
"#VideoShowAoVivo Kkkk ahhh eu morro com esse Veras dando uma de doido!! Amo esse cara!","2"
"#MasterChefBR to quase chorando","0"
"#MaisVocê será q Viviane vai recusar o frango?","1"
"Quero um pijama desseeeee #MaisVoce","2"
"não tem pra quem torcer nessas horas #MasterChefBR","0"
"Azul n pode perder socorro  #MasterChefBR","1"
"Região NORTE eu te VENERO 💖 #MasterChefBR","2"
"Eu com um Leo desse nem saia de casa #TheNoite","0"
"@user Gostaria muito de ver a participação do lucio mauro filho no #Encontro","1"
"#Encontro  Fico toda emocionada com histórias de adoção. Simplesmente mexe comigo..oh, Deus, dai-me a dádiva de adotar o amor! 😭💙","2"
"Já tô chorando aqui com qualquer que seja o resultado #MasterChefBR","0"
"o cara de preto ali fazendo t o d a s as coreografias do tchan #AltasHoras","1"
"#VideoShowAoVivo  ela tá ficando hoje heiin❤😍 @CentralSophiaOn","2"
"""Luís Felipe tem 16 anos...."" GENTE PARECE TER 20 #ALTASHORAS","0"
"Vai ser agora a entrevista do ALIEN no #TheNoite","1"
"Ingrid Guimarães tá maravilhosa em #NovoMundo !!! Elvira é má, as vezes é boa e engraçada ao mesmo tempo !!! #VídeoShowAoVivo","2"
"o programa acabou e ninguém tomou um tacacá #MasterChefBR","0"
"Aí que nervoso! #MasterchefBR","1"
"O samba é resistência sem fim. Que aula! #ConversacomBial","2"
"se a ana luiza sair eu paro de ver de vez nam que urucubaca #MasterChefBR","0"
"gente, só fazer um arroz de whey temperado com creatina e de sobremesa um pote de pasta de amendoim da PowerOne q tá td certo #MasterChefBR","1"
"Meus favs estao todos la em cima!  Gracas a Deus! #MasterChefBR","2"
"#MasterChefBR no H&amp;H É increditável que ""amadores"" - pessoas comuns, sintam-se atrapalhados com sardinhas ... peixe comum e barato","0"
"@user dançando e imitando é muito engraçado! 😂 senhor #TheNoite #Maluma","1"
"ESSE FILHO DO SERGINHO QUE COISA MAIS FOFA DO MUNDO #AltasHoras","2"
"Só intelectual discutindo a corrupção no Brasil! Kkkkkkkkk #Encontro","0"
"Eu faria um pão com sardinha e mostarda #MasterChefBR","1"
"Hoje tem #MasterChefBR e toda torcida pro Valter Herzmann... Quem mais vem comigo? #florianopolisnomasterchef #teamvalter #manézinhodailha","2"
"#Encontro @user causando emoção em plena sexta-feira chuvosa... Chorando junto com o Cb Theodoro @user @user @user","0"
"Mas se o Victor for desclassificado  por não  ter entregue o prato, ainda tem  eliminação?  #MasterChefBR","1"
"@user  de unicórnio kkkkkkkk amei Ana vc é a melhor kkkkkkkk #MaisVoce #anacornio 😂😂😂😂","2"
"Eu não consigo imaginar nada além de sardinha frita e só. É impossível sair um prato masterchef de uma sardinha. 😟😟😟 #MasterChefBR","0"
"apareceu no BaVi mas foi como torcedora do Vitória #AltasHoras","1"
"Apaixonada pelo filho do @user que lindooooooooo #AltasHoras","2"
"#Encontro A corrupção está espalhada pelo mundo realmente. Mas daí comparar a nossa corrupção com a do povo japonês já é demais né? #ainao","0"
"RODADA DA NOITE Hoje Nível ThrashMetal mano kkkkkkkkk hoje tá muito loco kkkkkkkkkk  #THENOITE @user","1"
"Arrasaram cantando Elis @user #ConversaComBial","2"
"Vou dormir depois desse tombo que o #MasterChefBR  me deu hj.","0"
"Cumpadi Washignton e Beto Jamaica são o Bud Spencer e Terrence Hill da Bahia... #AltasHoras #Éotchan","1"
"Q raba esse moço q ta pulando de bicicleta agora no #maisvoce tem ein 👏👏👏👏","2"
"Aí gente, como que deixa sair um desses? #MasterChefBR","0"
"Na vida eu sou o budog #EDeCasa","1"
"Tenho paixão pelo trabalho e encanto pela beleza, mas cada entrevista do Santoro me deixa mais admirador do homem Rodrigo. #ConversaComBial","2"
"Que gafe do VídeoShow, colocar uma cena de morte, no dia da morte do Nelson Xavier.  #VideoShowAoVivo","0"
"Tapoha q prova difícil #MasterChefBR","1"
"A voz da Vanessa da mata é uma coisa maravilhosa #altasHoras","2"
"poooooooorra Mirian deixa o cara abrir a panela  #MasterChefBR","0"
"#MasterChefBR preciso parar de assistir esse programa, a vontade de cursar gastronomia aumenta a cada ep","1"
"A Globo ja pode contratar a Mirian #MasterChefBR","2"
"#VideoShowAoVivo @user  que saudades do Wando. Muito romântico!","0"
"A Fátima já podia pedir pra o Nando cantar né? #NandoReisNoEncontro #Encontro","1"
"A @user está linda! #encontro","2"
"Todo dia é um 7 X 1 diferente...Só TOMBO! #MasterChefBR","0"
"Já, já logo após o #JornalRational no #ProgramaDoRatinho ☺😂, tem #APraçaÉNossa em seguida tem Carlos Alberto no #TheNoite no @user.","1"
"O cabelo dá Ana está maravilhoso #MaisVoce","2"
"gente, q história eh essa q a Ana Luíza foi desclassificada do #MasterChefBR pq já trabalho como profissional????? tava lavando meu cabelo","0"
"@user @user @user @user Nossa ontem eu ri tanto com a Yuko do #MasterChefBR com a história do pênis!","1"
"#videoshowaovivo Lindooo o look da Lu Ferreira.. joca e otaaa beijuu😗","2"
"Esses colunistas do UOL adoram o SBT, me poupe darem destaque para o esdrúxulo #TheNoite mau gosto define!","0"
"É a @user ou @user no #Encontro?","1"
"Jacquin é muito fofo, dá vontade de abraçar ele #MasterChefBR","2"
"vitor b não pode sair hoje  #MasterChefBR","0"
